"";"ID";"Commune";"Langue";"Canton";"Poids";"An_Debut";"An_Fin";"F_1";"F_2"
"Chavannes-le-Chêne";5907;"Chavannes-le-Chêne";"Français";"Vaud";3,17915417688471e-05;1982;1987;-1,45185747515189;-1,08234884680179
"Chavannes-le-Veyron";5475;"Chavannes-le-Veyron";"Français";"Vaud";2,03858257438129e-05;1982;1987;0,0878153574750126;0,81906876910835
"Chavannes-près-Renens";5627;"Chavannes-près-Renens";"Français";"Vaud";0,000424770888418913;1982;1987;2,02773494022075;0,579045212934771
"Chavannes-sur-Moudon";5665;"Chavannes-sur-Moudon";"Français";"Vaud";2,88947668039871e-05;1982;1987;-0,691215176606046;0,364216737300902
"Chavornay";5749;"Chavornay";"Français";"Vaud";0,000353755360779086;1982;1987;-0,0699736335894491;0,260320202940415
"Chêne-Bougeries";6612;"Chêne-Bougeries";"Français";"Genève";0,00126302265685109;1982;1987;0,782021487384238;1,6045747028758
"Chêne-Bourg";6613;"Chêne-Bourg";"Français";"Genève";0,000728066992054835;1982;1987;1,99165305444596;0,933735270128803
"Chêne-Pâquier";5908;"Chêne-Pâquier";"Français";"Vaud";1,88757248265998e-05;1982;1987;-1,27396830033359;0,824497468207318
"Chénens";2177;"Chénens";"Français";"Fribourg";7,25831864441873e-05;1982;1987;0,525306372494517;-1,1199423419159
"Cheseaux-Noréaz";5909;"Cheseaux-Noréaz";"Français";"Vaud";8,31768307620308e-05;1982;1987;-0,616347077044398;1,07699076189494
"Cheseaux-sur-Lausanne";5582;"Cheseaux-sur-Lausanne";"Français";"Vaud";0,000367105854957631;1982;1987;0,804494501098939;0,554557277771786
"Chéserex";5709;"Chéserex";"Français";"Vaud";0,000115846313220487;1982;1987;-0,324442785179287;1,2746007192721
"Chessel";5403;"Chessel";"Français";"Vaud";4,18996657477473e-05;1982;1987;-0,39648327255021;0,131114137338781
"Chevilly";5476;"Chevilly";"Français";"Vaud";3,30558622240546e-05;1982;1987;-1,35989772376179;0,783811851614239
"Chevroux";5813;"Chevroux";"Français";"Vaud";5,33601189062412e-05;1982;1987;-1,46576169054331;-2,13129597952819
"Chexbres";5601;"Chexbres";"Français";"Vaud";0,000263952117037046;1982;1987;0,261472055306929;0,983479288433673
"Cheyres-Châbles";2055;"Cheyres-Châbles";"Français";"Fribourg";0,000240147831085235;1982;1987;-0,295570044023702;-0,0774479917630075
"Chigny";5628;"Chigny";"Français";"Vaud";3,60674778414674e-05;1982;1987;-0,242655035771461;1,00717957982379
"Chippis";6235;"Chippis";"Français";"Valais";0,00017761663169125;1982;1987;0,308735004086438;-0,706169924738597
"Choulex";6614;"Choulex";"Français";"Genève";0,000139108955147172;1982;1987;0,956653878467364;1,59304565714587
"Clarmont";5629;"Clarmont";"Français";"Vaud";2,00477434489145e-05;1982;1987;-0,314155417795896;-0,914325091835708
"Clos du Doubs";6808;"Clos du Doubs";"Français";"Jura";0,000207462322029459;1982;1987;0,950015174162875;-0,768540731768892
"Coeuve";6781;"Coeuve";"Français";"Jura";9,01421424614197e-05;1982;1987;1,16089130116249;-1,69243343469297
"Coinsins";5710;"Coinsins";"Français";"Vaud";4,41149097371771e-05;1982;1987;0,810446008292222;0,285584864568385
"Collex-Bossy";6615;"Collex-Bossy";"Français";"Genève";0,000156453261871987;1982;1987;0,91744363700084;1,41364605371839
"Collombey-Muraz";6152;"Collombey-Muraz";"Français";"Valais";0,000620931602304624;1982;1987;-0,524989321761546;-0,922827681977787
"Collonge-Bellerive";6616;"Collonge-Bellerive";"Français";"Genève";0,000828454333841472;1982;1987;0,0135324166471609;1,68872581912506
"Collonges";6211;"Collonges";"Français";"Valais";8,38240168694078e-05;1982;1987;-1,47956627928743;-2,03294166786389
"Cologny";6617;"Cologny";"Français";"Genève";0,000547019652050096;1982;1987;-0,426861321799282;2,05845735220434
"Commugny";5711;"Commugny";"Français";"Vaud";0,000221891459720299;1982;1987;-0,0663658866634152;1,67882073371017
"Concise";5554;"Concise";"Français";"Vaud";0,00010226828429109;1982;1987;-0,483140180160788;-0,278605326388461
"Confignon";6618;"Confignon";"Français";"Genève";0,000479323024137041;1982;1987;1,44638659712139;1,46004558528411
"Conthey";6023;"Conthey";"Français";"Valais";0,000816978548814909;1982;1987;-1,39685544222727;-1,22817268921925
"Coppet";5712;"Coppet";"Français";"Vaud";0,000231678673838328;1982;1987;-0,165385423570518;1,39420188069853
"Corbeyrier";5404;"Corbeyrier";"Français";"Vaud";4,98827010158572e-05;1982;1987;0,158009558245038;-1,21551444003626
"Corbières";2129;"Corbières";"Français";"Fribourg";0,000101858195682598;1982;1987;-0,190735513526136;-1,54266484765233
"Corcelles (BE)";687;"Corcelles (BE)";"Français";"Berne";3,10416172909124e-05;1982;1987;-0,237646503042415;-0,876638363133151
"Corcelles-le-Jorat";5785;"Corcelles-le-Jorat";"Français";"Vaud";6,17059218431628e-05;1982;1987;-0,985064850639106;-0,253218055694442
"Corcelles-près-Concise";5555;"Corcelles-près-Concise";"Français";"Vaud";3,89824985174807e-05;1982;1987;-0,535249574595747;0,511839827757393
"Corcelles-près-Payerne";5816;"Corcelles-près-Payerne";"Français";"Vaud";0,000219154603047312;1982;1987;-1,17127987975664;-0,666875753518675
"Corgémont";431;"Corgémont";"Français";"Berne";0,000232380294009403;1982;1987;0,96204513086756;-0,252021118573079
"Corminboeuf";2183;"Corminboeuf";"Français";"Fribourg";0,000334056181461121;1982;1987;0,986135770722726;0,357663907041318
"Cormoret";432;"Cormoret";"Français";"Berne";8,03397195233011e-05;1982;1987;0,279837546783658;0,368462787862989
"Cornaux";6451;"Cornaux";"Français";"Neuchâtel";0,000191178561463747;1982;1987;0,0488443363433892;0,0140825656126376
"Cornol";6782;"Cornol";"Français";"Jura";0,000111332192185527;1982;1987;1,31055383119813;-1,77175115133657
"Corseaux";5883;"Corseaux";"Français";"Vaud";0,000307142935168167;1982;1987;-0,615966849725214;1,35468550304197
"Corsier (GE)";6619;"Corsier (GE)";"Français";"Genève";0,000217463600459068;1982;1987;0,805276736889042;1,5680280659948
"Corsier-sur-Vevey";5884;"Corsier-sur-Vevey";"Français";"Vaud";0,000345482540686778;1982;1987;0,933880490731037;0,864447266637322
"Cortaillod";6408;"Cortaillod";"Français";"Neuchâtel";0,000534328870954289;1982;1987;0,60662685741055;0,538457880402888
"Cortébert";433;"Cortébert";"Français";"Berne";8,57658987697809e-05;1982;1987;1,33458921547631;-0,165308394468686
"Cossonay";5477;"Cossonay";"Français";"Vaud";0,000304209668781001;1982;1987;0,110572040770549;0,726527303808701
"Cottens (FR)";2186;"Cottens (FR)";"Français";"Fribourg";0,000156745092116279;1982;1987;0,34078332102355;-0,894185850790572
"Courchapoix";6706;"Courchapoix";"Français";"Jura";6,11606970628187e-05;1982;1987;2,4830389472829;-0,894439495988015
"Courchavon";6783;"Courchavon";"Français";"Jura";4,33727064975098e-05;1982;1987;0,498612726929334;-1,01641924535471
"Courgenay";6784;"Courgenay";"Français";"Jura";0,000270201277693688;1982;1987;1,01959747533625;-1,06146542444776
"Courrendlin";6708;"Courrendlin";"Français";"Jura";0,000372391744806441;1982;1987;1,51602131260826;-1,20753217606164
"Courroux";6709;"Courroux";"Français";"Jura";0,000343329546770694;1982;1987;2,13131457348614;-0,856778919372566
"Court";690;"Court";"Français";"Berne";0,000207543558397963;1982;1987;0,224391795844134;-1,00559512572459
"Courtedoux";6785;"Courtedoux";"Français";"Jura";0,00010624575758941;1982;1987;1,34228880653472;-0,756374445918746
"Courtelary";434;"Courtelary";"Français";"Berne";0,000170399237233012;1982;1987;0,862724330647306;0,168796789122969
"Courtepin";2254;"Courtepin";"Français";"Fribourg";0,000493207204144106;1982;1987;0,68816967677953;-0,106064276625622
"Courtételle";6710;"Courtételle";"Français";"Jura";0,000267644190352762;1982;1987;2,36942968748549;-0,41953632228244
"Crans (VD)";5713;"Crans (VD)";"Français";"Vaud";0,000205405923054775;1982;1987;-0,277302875683977;1,26119931319918
"Crans-Montana";6253;"Crans-Montana";"Français";"Valais";0,00101742056515887;1982;1987;-1,17339292861783;-1,21275012964532
"Crassier";5714;"Crassier";"Français";"Vaud";9,27128980324202e-05;1982;1987;-0,919890635962742;0,784965402212746
"Crémines";691;"Crémines";"Français";"Berne";8,63811167140795e-05;1982;1987;1,15629698679802;-0,25401264237086
"Cressier (FR)";2257;"Cressier (FR)";"Français";"Fribourg";0,000114585654000774;1982;1987;0,209176033035494;0,532438273757416
"Cressier (NE)";6452;"Cressier (NE)";"Français";"Neuchâtel";0,000214965602421951;1982;1987;0,174842410081619;0,463346069422502
"Crésuz";2130;"Crésuz";"Français";"Fribourg";4,8506756716161e-05;1982;1987;-0,254729779223209;-1,40645825065797
"Crissier";5583;"Crissier";"Français";"Vaud";0,000497304029915839;1982;1987;0,885658110391099;0,286319052240966
"Cronay";5910;"Cronay";"Français";"Vaud";5,40491628215581e-05;1982;1987;-0,590300933398765;0,684328463741212
"Croy";5752;"Croy";"Français";"Vaud";4,41546209908636e-05;1982;1987;0,168166351416119;0,292959288711889
"Cuarnens";5479;"Cuarnens";"Français";"Vaud";5,98577386310514e-05;1982;1987;-1,63765034762621;-0,0629598100518449
"Cuarny";5911;"Cuarny";"Français";"Vaud";2,70927345083221e-05;1982;1987;-1,49714122382464;-1,36435273078663
"Cudrefin";5456;"Cudrefin";"Français";"Vaud";0,000134656568142361;1982;1987;-0,801637594783025;-0,0805037656482866
"Cugy (FR)";2011;"Cugy (FR)";"Français";"Fribourg";0,000209180393820661;1982;1987;-0,137336643059094;-1,13253665774829
"Cugy (VD)";5516;"Cugy (VD)";"Français";"Vaud";0,000265071545080154;1982;1987;0,0174409306264476;0,907083938100994
"Curtilles";5669;"Curtilles";"Français";"Vaud";4,22345282112657e-05;1982;1987;-0,527273183248289;-0,324413437278733
"Daillens";5480;"Daillens";"Français";"Vaud";9,2399501111435e-05;1982;1987;-0,361559137409166;0,195774064441431
"Damphreux";6787;"Damphreux";"Français";"Jura";2,42274056459424e-05;1982;1987;0,26013328303722;-1,19694927753612
"Dardagny";6620;"Dardagny";"Français";"Genève";0,000158126201878437;1982;1987;0,993249125850028;1,08615283570784
"Delémont";6711;"Delémont";"Français";"Jura";0,00143833838869307;1982;1987;2,62324365157013;0,0658967544853555
"Delley-Portalban";2051;"Delley-Portalban";"Français";"Fribourg";0,000130829252838737;1982;1987;0,152680250645788;-1,26885722464107
"Démoret";5912;"Démoret";"Français";"Vaud";2,44492529453542e-05;1982;1987;-2,22699293162194;-0,796326275932397
"Denens";5631;"Denens";"Français";"Vaud";7,96704343892269e-05;1982;1987;-0,630584357077271;1,3133710184732
"Denges";5632;"Denges";"Français";"Vaud";0,000130536257253106;1982;1987;0,599285769161477;0,639654246910068
"Develier";6712;"Develier";"Français";"Jura";0,000160979762950866;1982;1987;1,81952499327598;-0,704748089375527
